INTF ID,Gregory-Aland,Unambiguous Agreements (A),Ambiguous Agreements (≟),Unambiguous Disagreements (D),Similarity Lower Bound,Similarity Mean,Similarity Upper Bound,Rank
31266,1266,49,64,40,0.4469960144648968,0.5505617977528089,0.6498452553655619,1275
30563,563,49,64,40,0.4469960144648968,0.5505617977528089,0.6498452553655619,1276
32277,2277,49,63,40,0.4469960144648968,0.5505617977528089,0.6498452553655619,1277
31808,1808,49,64,40,0.4469960144648968,0.5505617977528089,0.6498452553655619,1278
32606,2606,49,64,40,0.4469960144648968,0.5505617977528089,0.6498452553655619,1279
30473,473,49,64,40,0.4469960144648968,0.5505617977528089,0.6498452553655619,1280
30474,474,49,64,40,0.4469960144648968,0.5505617977528089,0.6498452553655619,1281
30294,294,49,64,40,0.4469960144648968,0.5505617977528089,0.6498452553655619,1282
30151,151,49,64,40,0.4469960144648968,0.5505617977528089,0.6498452553655619,1283
30483,483,49,64,40,0.4469960144648968,0.5505617977528089,0.6498452553655619,1284
30677,677,49,62,40,0.4469960144648968,0.5505617977528089,0.6498452553655619,1285
32371,2371,49,64,40,0.4469960144648968,0.5505617977528089,0.6498452553655619,1286
31568,1568,49,64,40,0.4469960144648968,0.5505617977528089,0.6498452553655619,1287
30020,20,49,64,40,0.4469960144648968,0.5505617977528089,0.6498452553655619,1288
31408,1408,49,64,40,0.4469960144648968,0.5505617977528089,0.6498452553655619,1289
30026,26,49,64,40,0.4469960144648968,0.5505617977528089,0.6498452553655619,1290
30580,580,49,64,40,0.4469960144648968,0.5505617977528089,0.6498452553655619,1291
30029,29,49,64,40,0.4469960144648968,0.5505617977528089,0.6498452553655619,1292
30707,707,49,64,40,0.4469960144648968,0.5505617977528089,0.6498452553655619,1293
32399,2399,44,54,36,0.4408856071347596,0.55,0.6544203355688853,1294
31281,1281,44,52,36,0.4408856071347596,0.55,0.6544203355688853,1295
32804,2804,50,62,41,0.4470346106671034,0.5494505494505495,0.6477674105391961,1296
31444,1444,50,62,41,0.4470346106671034,0.5494505494505495,0.6477674105391961,1297
30416,416,50,62,41,0.4470346106671034,0.5494505494505495,0.6477674105391961,1298
32452,2452,50,62,41,0.4470346106671034,0.5494505494505495,0.6477674105391961,1299
30600,600,50,62,41,0.4470346106671034,0.5494505494505495,0.6477674105391961,1300
31172,1172,50,62,41,0.4470346106671034,0.5494505494505495,0.6477674105391961,1301
30698,698,50,62,41,0.4470346106671034,0.5494505494505495,0.6477674105391961,1302
30718,718,50,62,41,0.4470346106671034,0.5494505494505495,0.6477674105391961,1303
32812,2812,50,62,41,0.4470346106671034,0.5494505494505495,0.6477674105391961,1304
30096,96,50,62,41,0.4470346106671034,0.5494505494505495,0.6477674105391961,1305
32511,2511,50,62,41,0.4470346106671034,0.5494505494505495,0.6477674105391961,1306
