INTF ID,Gregory-Aland,Unambiguous Agreements (A),Ambiguous Agreements (≟),Unambiguous Disagreements (D),Similarity Lower Bound,Similarity Mean,Similarity Upper Bound,Rank
30372,372,45,104,36,0.4469664184367155,0.5555555555555556,0.6589911997824365,63
30153,153,45,104,36,0.4469664184367155,0.5555555555555556,0.6589911997824365,64
32687,2687,45,104,36,0.4469664184367155,0.5555555555555556,0.6589911997824365,65
32310,2310,10,29,8,0.33499784401173544,0.5555555555555556,0.7555253105338038,66
30578,578,46,102,37,0.44695232812528857,0.5542168674698795,0.6565690788454701,67
20042,042,41,106,33,0.4405822220332352,0.5540540540540541,0.6620557210953415,68
31489,1489,41,104,33,0.4405822220332352,0.5540540540540541,0.6620557210953415,69
30520,520,42,103,34,0.4406702206124682,0.5526315789473685,0.6594015897233974,70
30824,824,37,91,30,0.43317807685038107,0.5522388059701493,0.6654842970710485,71
30673,673,37,94,30,0.43317807685038107,0.5522388059701493,0.6654842970710485,72
30559,559,32,75,26,0.4240366592397043,0.5517241379310345,0.6728039883824208,73
31694,1694,43,107,35,0.4407719094519053,0.5512820512820513,0.656858876059984,74
31675,1675,43,107,35,0.4407719094519053,0.5512820512820513,0.656858876059984,75
30049,49,43,104,35,0.4407719094519053,0.5512820512820513,0.656858876059984,76
30191,191,43,107,35,0.4407719094519053,0.5512820512820513,0.656858876059984,77
30517,517,43,107,35,0.4407719094519053,0.5512820512820513,0.656858876059984,78
31479,1479,43,103,35,0.4407719094519053,0.5512820512820513,0.656858876059984,79
32661,2661,38,76,31,0.4334071696434522,0.5507246376811594,0.6625523019270192,80
30881,881,38,91,31,0.4334071696434522,0.5507246376811594,0.6625523019270192,81
31383,1383,38,88,31,0.4334071696434522,0.5507246376811594,0.6625523019270192,82
30331,331,44,105,36,0.4408856071347596,0.55,0.6544203355688853,83
30007,7,44,105,36,0.4408856071347596,0.55,0.6544203355688853,84
30804,804,44,103,36,0.4408856071347596,0.55,0.6544203355688853,85
31690,1690,44,105,36,0.4408856071347596,0.55,0.6544203355688853,86
30417,417,44,105,36,0.4408856071347596,0.55,0.6544203355688853,87
31808,1808,44,104,36,0.4408856071347596,0.55,0.6544203355688853,88
30809,809,44,105,36,0.4408856071347596,0.55,0.6544203355688853,89
32494,2494,44,105,36,0.4408856071347596,0.55,0.6544203355688853,90
32108,2108,39,91,32,0.433646445486636,0.5492957746478874,0.6597541604629668,91
30346,346,45,100,37,0.44100983476945815,0.5487804878048781,0.6520793500669224,92
30597,597,34,81,28,0.4248876269826104,0.5483870967741935,0.6660856620336977,93
31620,1620,40,101,33,0.433894162462837,0.547945205479452,0.6570804082937667,94
31084,1084,40,96,33,0.433894162462837,0.547945205479452,0.6570804082937667,95
32193,2193,46,97,38,0.4411432887573016,0.5476190476190477,0.64982986098217,96
30348,348,46,101,38,0.4411432887573016,0.5476190476190477,0.64982986098217,97
32482,2482,29,64,24,0.4140003280369198,0.5471698113207547,0.6737753698957205,98
32455,2455,41,101,34,0.4341488221158364,0.5466666666666666,0.6545224698415699,99
31011,1011,42,101,35,0.4344091327896093,0.5454545454545454,0.6520725556184495,100
31638,1638,42,100,35,0.4344091327896093,0.5454545454545454,0.6520725556184495,101
31599,1599,42,103,35,0.4344091327896093,0.5454545454545454,0.6520725556184495,102
32409,2409,18,38,15,0.3788576439570714,0.5454545454545454,0.7022133335818036,103
31292,1292,42,102,35,0.4344091327896093,0.5454545454545454,0.6520725556184495,104
