INTF ID,Gregory-Aland,Unambiguous Agreements (A),Ambiguous Agreements (≟),Unambiguous Disagreements (D),Similarity Lower Bound,Similarity Mean,Similarity Upper Bound,Highest Credible Rank,Rank,Lowest Credible Rank
30350,350,1,0,13,0.01657591344008363,0.07142857142857142,0.3194845665783033,7,451,1607
32495,2495,1,0,13,0.01657591344008363,0.07142857142857142,0.3194845665783033,7,452,1607
32530,2530,1,0,13,0.01657591344008363,0.07142857142857142,0.3194845665783033,7,453,1607
30278,278,1,0,13,0.01657591344008363,0.07142857142857142,0.3194845665783033,7,454,1607
32418,2418,1,0,13,0.01657591344008363,0.07142857142857142,0.3194845665783033,7,455,1607
30237,237,1,0,13,0.01657591344008363,0.07142857142857142,0.3194845665783033,7,456,1607
32476,2476,1,0,13,0.01657591344008363,0.07142857142857142,0.3194845665783033,7,457,1607
32475,2475,1,0,13,0.01657591344008363,0.07142857142857142,0.3194845665783033,7,458,1607
30281,281,1,0,13,0.01657591344008363,0.07142857142857142,0.3194845665783033,7,459,1607
30300,300,1,0,13,0.01657591344008363,0.07142857142857142,0.3194845665783033,7,460,1607
30301,301,1,0,13,0.01657591344008363,0.07142857142857142,0.3194845665783033,7,461,1607
31133,1133,1,0,13,0.01657591344008363,0.07142857142857142,0.3194845665783033,7,462,1607
31328,1328,0,0,14,0.0016864302413527026,0.0,0.2180193609105339,19,463,1607
31327,1327,0,0,14,0.0016864302413527026,0.0,0.2180193609105339,19,464,1607
31444,1444,0,0,14,0.0016864302413527026,0.0,0.2180193609105339,19,465,1607
31552,1552,0,0,14,0.0016864302413527026,0.0,0.2180193609105339,19,466,1607
31553,1553,0,0,14,0.0016864302413527026,0.0,0.2180193609105339,19,467,1607
31443,1443,0,0,14,0.0016864302413527026,0.0,0.2180193609105339,19,468,1607
31326,1326,0,0,14,0.0016864302413527026,0.0,0.2180193609105339,19,469,1607
31442,1442,0,0,14,0.0016864302413527026,0.0,0.2180193609105339,19,470,1607
31439,1439,0,0,14,0.0016864302413527026,0.0,0.2180193609105339,19,471,1607
31551,1551,0,0,14,0.0016864302413527026,0.0,0.2180193609105339,19,472,1607
31548,1548,0,0,14,0.0016864302413527026,0.0,0.2180193609105339,19,473,1607
31545,1545,0,0,14,0.0016864302413527026,0.0,0.2180193609105339,19,474,1607
31336,1336,0,0,14,0.0016864302413527026,0.0,0.2180193609105339,19,475,1607
31335,1335,0,0,14,0.0016864302413527026,0.0,0.2180193609105339,19,476,1607
20030,030,0,0,14,0.0016864302413527026,0.0,0.2180193609105339,19,477,1607
31334,1334,0,0,11,0.002107593231860229,0.0,0.2646484693970512,12,478,1607
31460,1460,0,0,14,0.0016864302413527026,0.0,0.2180193609105339,19,479,1607
31547,1547,0,0,14,0.0016864302413527026,0.0,0.2180193609105339,19,480,1607
