INTF ID,Gregory-Aland,Unambiguous Agreements (A),Ambiguous Agreements (≟),Unambiguous Disagreements (D),Similarity Lower Bound,Similarity Mean,Similarity Upper Bound,Highest Credible Rank,Rank,Lowest Credible Rank
31624,1624,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1661,1700
30226,226,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1662,1700
30229,229,0,1,35,0.0007030252059047808,0.0,0.09739375591449193,38,1663,1700
30405,405,0,0,28,0.0008726468835799228,0.0,0.11944486906950275,25,1664,1700
31597,1597,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1665,1700
31598,1598,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1666,1700
31081,1081,0,0,35,0.0007030252059047808,0.0,0.09739375591449193,38,1667,1700
31078,1078,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1668,1700
31603,1603,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1669,1700
31604,1604,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1670,1700
31605,1605,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1671,1700
31077,1077,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1672,1700
31608,1608,0,0,34,0.0007231043763380954,0.0,0.10003243557210502,32,1673,1700
31076,1076,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1674,1700
30098,98,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1675,1700
31074,1074,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1676,1700
31618,1618,0,0,14,0.0016864302413527026,0.0,0.2180193609105339,5,1677,1700
30748,748,0,0,35,0.0007030252059047808,0.0,0.09739375591449193,38,1678,1700
31623,1623,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1679,1700
31594,1594,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1680,1700
31083,1083,0,1,35,0.0007030252059047808,0.0,0.09739375591449193,38,1681,1700
31084,1084,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1682,1700
30365,365,0,1,35,0.0007030252059047808,0.0,0.09739375591449193,38,1683,1700
31570,1570,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1684,1700
31097,1097,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1685,1700
30592,592,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1686,1700
31575,1575,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1687,1700
30367,367,0,1,35,0.0007030252059047808,0.0,0.09739375591449193,38,1688,1700
31577,1577,0,1,35,0.0007030252059047808,0.0,0.09739375591449193,38,1689,1700
31578,1578,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1690,1700
30227,227,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1691,1700
30364,364,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1692,1700
31090,1090,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1693,1700
31089,1089,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1694,1700
31583,1583,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1695,1700
31585,1585,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1696,1700
31586,1586,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1697,1700
30403,403,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1698,1700
31590,1590,0,0,36,0.0006840310246946652,0.0,0.09489058741498993,38,1699,1700
32460,2460,0,0,33,0.0007443642346902608,0.0,0.10281792425901258,28,1700,1700
